Player,Team,Height,Weight,MinutesPlayed,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,Reb_Off_3_48,Reb_Off_2_48,Reb_Def_3_48,Reb_Def_2_48
"Devin Harris",DAL,190,83,1071,18.5,16.7,0.576,0.386,0.2241,0.2241,2.3305,2.0616
"Jeff Green",WSH,206,106,2097,17.8,9.2,0.466,0.3,0.5036,0.8011,2.3348,3.0672
"Jerian Grant",ORL,193,92,939,13.4,22.4,0.5,0.182,0.5623,0.3578,1.8914,2.0958
"Royce O'Neale",UTAH,198,102,1671,11,10,0.513,0.122,0.2011,0.4309,2.8725,4.4811
"De'Anthony Melton",PHX,193,90,984,15,22.3,0.371,0.109,0.4390,0.6829,2.0488,2.9756
"Zach LaVine",CHI,196,90,2171,30.5,22.6,0.283,0.33,0.2211,0.6191,2.6974,2.4542
"Kevin Durant",GS,206,108,2702,29,26.2,0.281,0.366,0.2487,0.3198,3.3220,4.2813
"Tyus Jones",MIN,188,88,1560,14.1,28.3,0.283,0.155,0.0923,0.6154,1.3846,1.9385
"Danuel House",HOU,201,99,979,14.1,5.9,0.706,0.282,0.0490,0.0490,0.0490,0.0000
"Dennis Schroder",OKC,185,78,2314,24.2,20.4,0.33,0.206,0.2074,0.5393,2.2818,2.8003
"Derrick Favors",UTAH,208,120,1766,19.4,8,0.126,0.368,1.6580,3.8596,2.9626,5.8981
"Avery Bradley",LAC,188,81,1463,14.2,8.8,0.41,0.06,0.3937,0.7546,1.3124,1.7717
"Will Barton",DEN,198,86,1189,20,14.6,0.426,0.161,0.2422,0.9285,3.1085,3.1892
"Davis Bertans",SA,208,102,1632,14.1,8.2,0.746,0.132,0.1765,0.4412,2.5588,3.9118
"Hassan Whiteside",MIA,213,120,1674,22.6,5.6,0.024,0.357,1.5197,5.5627,6.5376,8.3728
"Trevor Ariza",PHX,203,97,884,13.8,13.5,0.612,0.189,0.2172,0.5973,2.6063,3.2579
"Derrick White",SA,193,86,1728,17.7,21,0.262,0.227,0.3056,0.6667,2.8056,3.0278
"Jaren Jackson Jr.",MEM,211,109,1515,22.8,7.2,0.241,0.334,0.3168,1.9644,2.0277,4.0554
"Luka Doncic",DAL,201,98,2318,30.5,31.6,0.433,0.409,0.6212,1.1389,4.1415,5.3011
"Damyean Dotson",NY,198,95,2004,17.3,10.4,0.49,0.14,0.2395,0.5749,2.5150,2.6347
