Player,Team,Age,Height,Weight,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,TotalFouls,TotalBlocks,OR3_per48,OR2_per48,DR3_per48,DR2_per48
"Zach LaVine",CHI,23,198,82,30.5,22.6,0.283,0.33,140,26,0.2211,0.6191,2.6974,2.4542
"Nicolas Batum",CHA,30,203,90,13.2,14.5,0.53,0.158,140,43,0.5506,0.8360,2.7324,3.0790
"Dennis Smith Jr.",DAL,21,188,88,23.3,24.1,0.35,0.23,82,11,0.3172,0.6344,1.5330,2.5374
"Bryn Forbes",SA,25,190,86,17.4,10.6,0.522,0.099,159,4,0.2093,0.1675,2.3027,2.1771
"Nerlens Noel",OKC,24,211,99,13.8,5.9,0,0.286,166,96,1.5469,4.1858,2.5934,5.2322
"David Nwaba",CLE,26,196,99,14.6,8.1,0.286,0.324,106,17,0.7805,1.2195,2.6341,2.9268
"Jakob Poeltl",SA,23,213,104,13.1,10,0,0.317,124,68,1.8476,4.7887,2.6394,5.5428
"JJ Redick",PHI,34,193,90,21.9,12.9,0.589,0.248,129,17,0.2219,0.1816,1.3317,1.9571
"T.J. McConnell",PHI,26,188,86,15,24.7,0.1,0.088,105,17,0.3918,0.4571,1.7306,2.9061
"Paul Millsap",DEN,33,201,113,19.6,10.6,0.239,0.374,183,54,1.2665,2.3810,3.3435,4.8127
"Otto Porter",WSH,25,203,89,18.2,9.6,0.398,0.145,79,22,0.6045,1.0076,3.0630,3.9496
"Eric Bledsoe",MIL,29,185,92,22.9,27.4,0.388,0.243,156,29,0.7817,0.8451,2.9577,2.7887
"Kemba Walker",CHA,28,183,78,31.5,29.4,0.434,0.267,131,34,0.2683,0.5700,1.9783,3.0513
"Jimmy Butler",PHI,29,201,104,22.1,18,0.198,0.407,93,29,0.8947,1.8947,1.8158,2.9737
"Pat Connaughton",MIL,26,193,94,13.3,12.6,0.571,0.114,81,25,1.1039,1.1039,3.7304,3.5400
"Tobias Harris",PHI,26,206,106,21.3,12.6,0.338,0.221,61,13,0.4576,1.0678,3.3051,5.2373
"Taj Gibson",MIN,33,206,102,17.2,7.3,0.063,0.33,186,39,1.1103,3.6726,2.9609,4.3559
"Alex Len",ATL,25,216,113,22.1,8.6,0.315,0.333,200,69,1.5544,3.2642,2.8912,4.6321
"D'Angelo Russell",BKN,22,196,89,31.9,41.3,0.419,0.135,141,20,0.3333,0.7059,1.9804,3.1176
"Jerian Grant",ORL,26,193,92,13.4,22.4,0.5,0.182,78,6,0.5623,0.3578,1.8914,2.0958
"Dario Saric",MIN,24,208,102,17.8,8.8,0.449,0.213,143,6,1.3276,1.4751,3.2452,4.0713
"Domantas Sabonis",IND,22,211,108,23.5,18.2,0.024,0.416,239,30,0.8357,3.8912,4.8313,7.3645
"Gorgui Dieng",MIN,29,211,114,19.6,10.3,0.149,0.281,134,41,1.3036,2.4210,3.8642,5.4471
"Kelly Olynyk",MIA,27,211,108,18,11.4,0.566,0.328,183,37,0.9536,0.9007,3.1788,4.1060
"Ian Clark",NO,27,190,79,19.3,12.9,0.527,0.097,95,8,0.2467,0.3947,1.6280,2.0719
"Vince Carter",ATL,42,198,99,16.7,9.3,0.675,0.141,141,27,0.5053,0.5414,2.0211,2.7429
"Wes Iwundu",ORL,24,201,88,12.8,7.9,0.288,0.376,123,22,0.0000,0.0000,0.1946,0.1168
"Josh Hart",LAL,23,196,97,13.5,7,0.591,0.172,147,40,0.3918,0.5598,2.4630,3.2746
"Devin Booker",PHX,22,198,95,32.9,34.1,0.33,0.362,200,13,0.3211,0.4924,1.7128,2.9331
"Trevor Ariza",WSH,33,203,97,18.2,15.5,0.58,0.238,86,13,0.3276,0.7208,3.0143,2.2935
"Tomas Satoransky",WSH,27,201,89,14.1,24.6,0.306,0.302,172,13,1.0203,0.7763,1.8854,2.3956
"Josh Okogie",MIN,20,193,96,15.4,6.9,0.423,0.319,166,33,0.2732,0.8196,2.2948,2.5407
"Rajon Rondo",LAL,32,185,84,17.4,35.5,0.329,0.083,100,7,0.5259,0.6662,3.5062,3.4361
"Tyreke Evans",IND,29,198,99,26.4,17.5,0.327,0.242,117,18,0.2054,0.8559,2.9444,2.6705
"Harry Giles",SAC,20,208,108,23.2,15.2,0.017,0.261,150,22,0.6439,3.1610,3.5707,4.5073
"Davis Bertans",SA,26,208,102,14.1,8.2,0.746,0.132,133,33,0.1765,0.4412,2.5588,3.9118
"Damian Lillard",POR,28,188,88,29.3,30.6,0.419,0.335,148,34,0.5920,0.5412,2.2495,2.7907
"Kentavious Caldwell-Pope",LAL,25,196,92,18.1,7.5,0.575,0.209,137,13,0.4010,0.6369,2.3351,2.0757
"Justise Winslow",MIA,22,198,102,20.8,21.9,0.342,0.183,177,19,0.5881,0.8821,2.8668,3.8469
"Tyler Johnson",MIA,26,193,86,19.2,14.9,0.509,0.219,72,21,0.2992,0.5129,1.6242,2.6500
"Bogdan Bogdanovic",SAC,26,198,99,22.3,19.3,0.431,0.188,142,15,0.1972,0.7149,2.5393,2.1941
"Thaddeus Young",IND,30,203,99,18,12,0.174,0.161,194,36,1.2728,2.3913,2.7384,3.1049
"Shaquille Harrison",CHI,25,201,86,16.5,14.1,0.209,0.289,124,30,0.2685,0.8056,2.8531,3.2895
"Jarrett Allen",BKN,20,211,107,15.9,7.9,0.079,0.489,184,120,1.3053,2.9771,4.0763,5.9542
"George Hill",MIL,32,190,85,14.4,13.3,0.465,0.242,67,7,0.6013,0.8017,1.8539,2.8058
"Dante Cunningham",SA,31,203,104,8.9,6.8,0.411,0.114,71,13,0.7241,1.6034,2.6897,3.9828
"Stephen Curry",GS,30,190,86,30.4,24.2,0.604,0.214,166,25,0.4324,0.4942,3.0064,3.6860
"Jeff Teague",MIN,30,193,88,19.3,37.6,0.252,0.368,90,18,0.1899,0.4177,1.5570,1.6709
"Harrison Barnes",SAC,26,203,102,16.3,7.5,0.419,0.258,43,2,0.1012,0.8599,2.5290,3.7935
"Rondae Hollis-Jefferson",BKN,24,201,98,21.6,11.7,0.101,0.376,107,27,1.0113,2.0616,3.0340,4.6677
"Ish Smith",DET,30,183,79,19.9,25.4,0.276,0.127,109,11,0.2686,0.6523,1.9185,2.3405
"Draymond Green",GS,28,201,104,13.1,26.8,0.391,0.216,197,70,0.4881,0.7903,3.5797,5.1370
"Malik Beasley",DEN,22,193,89,18.7,7.5,0.55,0.09,116,10,0.4343,0.4598,2.2225,1.6605
"D.J. Augustin",ORL,31,183,83,17.2,26.9,0.459,0.309,115,4,0.2539,0.6135,1.6078,1.7558
"Mason Plumlee",DEN,28,211,107,16.2,19.5,0.023,0.448,252,76,1.6083,2.9671,4.3258,5.2132
"Damyean Dotson",NY,24,196,91,17.3,10.4,0.49,0.14,135,10,0.2395,0.5749,2.5150,2.6347
"Derrick Jones Jr.",MIA,21,198,95,15.6,4.7,0.281,0.377,123,42,1.2489,2.7060,2.5395,2.7476
"Jordan Clarkson",CLE,26,196,87,27.6,15.6,0.377,0.163,112,13,0.3902,1.3442,1.9295,1.9946
"Joel Embiid",PHI,24,213,113,33.3,18.4,0.219,0.541,211,122,0.8245,2.7187,5.5487,8.9582
"Eric Gordon",HOU,30,193,97,22,9.4,0.64,0.162,143,27,0.1112,0.2447,1.2678,1.5348
"Will Barton",DEN,28,196,79,20,14.6,0.426,0.161,82,22,0.2422,0.9285,3.1085,3.1892
"Steven Adams",OKC,25,213,120,16.4,6.6,0.002,0.361,204,76,2.3380,4.1903,1.9783,4.6040
"Derrick Favors",UTAH,27,208,120,19.4,8,0.126,0.368,163,106,1.6580,3.8596,2.9626,5.8981
"Wesley Matthews",DAL,32,196,99,18.9,11.6,0.561,0.235,102,12,0.2927,0.4390,1.5000,1.3902
"JaMychal Green",MEM,28,206,102,20.4,6.5,0.308,0.256,123,26,1.2267,2.5600,3.7867,4.5867
"Patrick Beverley",LAC,30,185,83,12.2,18.4,0.591,0.258,265,43,0.7412,0.7637,2.7403,3.9532
"Stanley Johnson",DET,22,201,111,19.1,9.4,0.519,0.146,92,13,0.3996,0.6993,3.2966,3.4964
